BDE;BPARA;NCIR;RES(PU);REAT(PU);SUCsh(PU);TAP(PU);DEF(GRAUS);LIG(L)DESL(D);CAP(PU);Perdas (MW);Pkm (MW);Pmk (MW);CAP(MW);Sobrecarga
1;2;1;0,0400;0,2000;0,0400;1,0000;0,0000;L;0,5000;0,0113;-5,2921;5,3034;50,0000;0,0000
1;4;2;0,0400;0,2000;0,0200;1,0000;0,0000;L;0,5000;0,2687;26,6782;-26,4095;50,0000;0,0000
1;5;3;0,0600;0,3000;0,0000;1,0000;0,0000;L;0,5000;1,0972;44,3196;-43,2224;50,0000;0,0000
2;3;4;0,0500;0,2500;0,0000;1,0000;0,0000;L;0,4000;0,1462;-17,3227;17,4689;40,0000;0,0000
2;4;5;0,0200;0,1000;0,0000;1,0000;0,0000;L;0,7500;0,7802;64,0732;-63,2930;75,0000;0,0000
2;5;6;0,0600;0,3000;0,0000;1,0000;0,0000;L;0,7500;1,2864;47,9461;-46,6596;75,0000;0,0000
2;6;7;0,0400;0,2000;0,0000;1,0000;0,0000;D;0,7500;0,0000;0,0000;0,0000;75,0000;0,0000
3;5;8;0,0500;0,2600;0,0000;1,0000;0,0000;L;0,7500;2,4482;72,5311;-70,0829;75,0000;0,0000
3;6;9;0,0200;0,1000;0,0000;1,0000;0,0000;D;0,7500;0,0000;0,0000;0,0000;75,0000;0,0000
4;5;10;0,0800;0,4000;0,0000;1,0000;0,0000;L;0,4000;0,2923;19,7025;-19,4102;40,0000;0,0000
5;6;11;0,0600;0,3000;0,0000;1,0000;0,0000;L;0,4000;4,3752;89,3752;-85,0000;40,0000;1,2344
